N°de serie,Proyecto,Cliente,LDP,Fecha de fin estimada,Fecha de entrega estimada,Reprogramaciones de entrega estimada,Causas de reprogramación entrega estimada,Estado,Próximo estadío,Fecha estadío más próximo,Última fecha de entrega acordada con cliente,Registro de fechas de entrega acordada con cliente reprogramadas,Causas reprogramación entrega Cliente,Fecha de fin de equipo,Fecha de entrega final,Comentarios,Duración Planificada Fabricación,Fecha KOM (Inicio del proyecto),Fecha de entrega segun KOM,Cotizado Met,Cotizado Inox,Cotizado GyP,Cotizado Mont,Cotizado Mont E,Cotizado Total,Reales Met,Reales Inox,Reales GyP,Reales Montaje,Reales Montaje E,Reales Total,Retrasos Met,Retrasos Inox,Retrasos GyP,Retrasos Mont,Retrasos Mont E,Retrasos Total,Complejidad,KPI 1 : Hs Consumidas vs Cotizadas,KPI 2: Retraso vs Programación Inicial (días),Carga de LDPs,KPI 3: Presupuesto consumido,Carga Proyección,Comentarios
ODS 1244,#N/A,0,0,00/01/1900,00/01/1900,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,00/01/1900,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0%,0,
ODS 1245,DESMONTAJE Y MONTAJE LINEA DE PESADO Y EMBOLSADO,ARGENBRAS,0,00/01/1900,00/01/1900,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,00/01/1900,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0%,0,
ODS 1247,Nave nueva SQM,SQM,0,00/01/1900,00/01/1900,00/01/1900,0,Próximo a terminar,0,,00/01/1900,0,0,00/01/1900,00/01/1900,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0%,0,
ODS 1248,#N/A,0,0,00/01/1900,00/01/1900,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,30/06/2024,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0%,0,
ODS 1249,#N/A,0,0,00/01/1900,06/02/2023,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,06/02/2023,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0%,0,
ODS 1250,BAHIA DE TESTEO NQN,SQM,0,00/01/1900,00/01/1900,00/01/1900,0,Metalurgia,0,,00/01/1900,0,0,00/01/1900,00/01/1900,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0%,0,
ODS 1251,REPARACION PRENSA CARTON,Havanna,0,00/01/1900,00/01/1900,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,00/01/1900,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0%,0,
ODS 1255,HYDRAULIC STARTER PERKINS,QME,0,00/01/1900,31/10/2024,00/01/1900,0,Stand by,0,,00/01/1900,0,0,00/01/1900,00/01/1900,0,0,,,,,,,,,,,,,,,,,,,,,,,550,0,0%,0,
ODS 1257,ROLADO Y SOLDADURA TERMOTANQUE,ELECTROTERMA,0,00/01/1900,00/01/1900,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,00/01/1900,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0%,0,
ODS 1259,REPARACION VIROLA INT CALDERA ROLON,Havanna,0,00/01/1900,00/01/1900,00/01/1900,0,Entregado,0,,00/01/1900,0,0,00/01/1900,00/01/1900,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0%,0,
